Time  [ms],Memory Usage [KB]
0,2585856
101,2593296
206,2597416
303,2602596
403,2621568
503,2631664
604,2632212
704,2634220
804,2639284
904,2656692
1005,2655388
1105,2656048
1206,2654388
1306,2654052
1406,2653864
1507,2654160
1607,2656604
1707,2658608
1808,2662300
1908,2672436
2009,2674452
2109,2673860
