"","name","critical","energy_consumption","time","memory_usage","cpu_usage"
"312","drivenxdesign",FALSE,43.5501,5626,2691007.85964912,21.3703703703704
"313","drivenxdesign",FALSE,37.057176,5476,2697257.85714286,16
"314","drivenxdesign",FALSE,48.878496,5622,2634543.64912281,22.6666666666667
"315","drivenxdesign",FALSE,50.5089,7630,2440413.92207792,26.1081081081081
"316","drivenxdesign",FALSE,45.292104,7281,2422645.08108108,14
"317","drivenxdesign",FALSE,35.891856,4926,2429379.28,14
"318","drivenxdesign",FALSE,61.020288,5426,2394170.32727273,2.2
"319","drivenxdesign",FALSE,46.355688,5327,2388241.33333333,20.9615384615385
"320","drivenxdesign",FALSE,45.14256,4822,2425007.34693878,16
"321","heinlein",FALSE,31.514436,1708,2676966.88888889,16
"322","heinlein",FALSE,27.792972,1513,2513804.75,15
"323","heinlein",FALSE,27.1341,1512,2469250,16
"324","heinlein",FALSE,27.98712,1406,2435572.53333333,15
"325","heinlein",FALSE,29.088972,1358,2497596.8,16
"326","heinlein",FALSE,28.663884,1659,2457585.88235294,16
"327","heinlein",FALSE,29.593872,1559,2362128,15
"328","heinlein",FALSE,26.892504,1407,2346699.46666667,14
"329","heinlein",FALSE,27.52704,1355,2378870.93333333,15
"330","heinlein",FALSE,29.386476,1459,2401769.5,16
"331","japassie",FALSE,43.717824,4030,2809427.51219512,15
"332","japassie",FALSE,39.7494,3367,2657357.94285714,16
"333","japassie",FALSE,36.711216,3617,2469244.32432432,16
"334","japassie",FALSE,37.2816,3314,2515429.17647059,16
"335","japassie",FALSE,38.927088,3520,2458928.22222222,15
"336","japassie",FALSE,38.551104,3416,2434269.37142857,15
"337","japassie",FALSE,33.110424,3115,2415192.51612903,15
"338","japassie",FALSE,34.377876,3323,2385641.05882353,15
"339","japassie",FALSE,40.857912,3061,2407379.875,16
"340","japassie",FALSE,38.240208,3617,2413165.94594595,16
"341","kasteelhoensbroek",FALSE,36.715392,3305,2598413.17647059,15
"342","kasteelhoensbroek",FALSE,41.387472,3466,2535215.22222222,16
"343","kasteelhoensbroek",FALSE,40.96224,3315,2522477.41176471,17
