"","name","critical","energy_consumption","time","memory_usage","cpu_usage"
"412","legalaidnc",FALSE,57.961224,2915,2462462.4,31
"413","legalaidnc",FALSE,55.507788,3017,2470143.09677419,30
"414","legalaidnc",FALSE,54.755712,3017,2479927.35483871,28
"415","legalaidnc",FALSE,56.79108,3013,2524831.74193548,30
"416","legalaidnc",FALSE,52.230528,3016,2637429.03225806,26
"417","legalaidnc",FALSE,57.00978,3065,2644089.625,30
"418","legalaidnc",FALSE,52.85232,3321,2600582,27
"419","legalaidnc",FALSE,55.744128,3316,2617566,20
"420","legalaidnc",FALSE,52.921836,3317,2571706.23529412,26
"421","lekhafoods",FALSE,58.969368,3117,2518873,30
"422","lekhafoods",FALSE,55.256472,2911,2470318.13333333,27
"423","lekhafoods",FALSE,58.3335,3617,2479571.78378378,28
"424","lekhafoods",FALSE,54.71388,3316,2487248.23529412,27
"425","lekhafoods",FALSE,57.191616,3470,2490706.44444444,27
"426","lekhafoods",FALSE,55.883376,3420,2498403.08571429,27
"427","lekhafoods",FALSE,60.495048,3418,2627910.05714286,31
"428","lekhafoods",FALSE,59.312376,3317,2634833.05882353,30
"429","lekhafoods",FALSE,53.84376,3164,2581394.3030303,26
"430","lekhafoods",FALSE,58.43376,3415,2565365.48571429,29
"431","mrob",FALSE,48.22236,2008,2495130.28571429,30
"432","mrob",FALSE,51.0696,2210,2497598.95652174,29
"433","mrob",FALSE,53.224776,2413,2476247.68,29
"434","mrob",FALSE,45.556812,2215,2465366.95652174,26
"435","mrob",FALSE,47.44458,2412,2472061.44,27
"436","mrob",FALSE,47.49696,2110,2481101.63636364,28
"437","mrob",FALSE,47.877984,2217,2498175.65217391,30
"438","mrob",FALSE,49.345488,2213,2494945.56521739,32
"439","mrob",FALSE,48.632688,2059,2472183.45454545,30
"440","mrob",FALSE,51.63264,2611,2648585.77777778,29
"441","quechua",FALSE,60.1002,3416,2482265.37142857,30
"442","quechua",FALSE,58.137552,3422,2482001.71428571,27
"443","quechua",FALSE,64.58562,3618,2502237.83783784,31
"444","quechua",FALSE,61.920324,3515,2646061.77777778,29
"445","quechua",FALSE,60.780168,3616,2638060.97297297,28
"446","quechua",FALSE,60.172308,3420,2640230.62857143,30
"447","quechua",FALSE,57.6756,3417,2592271.31428571,26
"448","quechua",FALSE,57.373596,3517,2574458.44444444,27
"449","quechua",FALSE,62.395416,3420,2578669.82857143,29
"450","quechua",FALSE,61.161804,3520,2553013.66666667,28
"451","sciencebeta",FALSE,43.927704,2209,2512915.47826087,28
"452","sciencebeta",FALSE,46.683936,2110,2495480,29
"453","sciencebeta",FALSE,45.007488,2211,2470294.7826087,27
"454","sciencebeta",FALSE,44.500284,2111,2452523.27272727,29
"455","sciencebeta",FALSE,44.966088,2058,2494663.63636364,29
"456","sciencebeta",FALSE,44.810496,2111,2483446,31
"457","sciencebeta",FALSE,45.369792,2058,2624533.27272727,32
"458","sciencebeta",FALSE,47.645892,2108,2612411.45454545,31
"459","sciencebeta",FALSE,44.499312,2161,2599611.30434783,28
"460","sciencebeta",FALSE,42.281856,2215,2521709.2173913,27
"461","sportravel",FALSE,62.859168,5681,2541181.5862069,27
"462","sportravel",FALSE,65.67624,5822,2503765.55932203,27
"463","sportravel",FALSE,67.168764,5931,2528235.2,28
"464","sportravel",FALSE,67.558176,5829,2527453.15254237,30
"465","sportravel",FALSE,68.58432,5830,2513016.47457627,29
"466","sportravel",FALSE,69.521796,6030,2599359.01639344,29
"467","sportravel",FALSE,71.422164,6025,2587142.95081967,29
"468","sportravel",FALSE,68.787576,6031,2691529.70491803,28
"469","sportravel",FALSE,69.046704,6130,2632610.58064516,31
"470","sportravel",FALSE,68.88834,6227,2564322.22222222,29
"471","telfer",FALSE,53.150904,3016,2521240.38709677,28
"472","telfer",FALSE,57.7647,3217,2473381.21212121,27
"473","telfer",FALSE,55.624608,3216,2503253.6969697,30
"474","telfer",FALSE,56.71224,2913,2658350.13333333,29
"475","telfer",FALSE,52.422372,2916,2674048.66666667,28
"476","telfer",FALSE,54.052884,2915,2601860.66666667,29
"477","telfer",FALSE,51.943392,2912,2567681.86666667,29
"478","telfer",FALSE,49.996296,2810,2547097.65517241,29
"479","telfer",FALSE,55.15848,2913,2551703.2,30
"480","telfer",FALSE,54.046584,3213,2511867.51515152,29
"481","ubersocial",FALSE,43.233372,2012,2516680.57142857,26
"482","ubersocial",FALSE,46.822356,2211,2488749.56521739,28
"483","ubersocial",FALSE,46.543536,2108,2472744.18181818,31
"484","ubersocial",FALSE,48.544704,2159,2462356.86956522,29
"485","ubersocial",FALSE,49.09284,2210,2473574.26086957,25
"486","ubersocial",FALSE,47.578104,2417,2484769.92,26
"487","ubersocial",FALSE,43.85664,2116,2648369.27272727,27
"488","ubersocial",FALSE,48.74688,2108,2699456,30
"489","ubersocial",FALSE,48.2571,2209,2635928.17391304,21
"490","ubersocial",FALSE,42.476616,2058,2523351.81818182,25
"491","velovita",FALSE,50.518116,7847,2530141.82278481,31
"492","velovita",FALSE,69.949152,5924,2493755.06666667,32
"493","velovita",FALSE,65.562696,4519,2492228.86956522,22
"494","velovita",FALSE,66.24576,8143,2500157.2195122,27
"495","velovita",FALSE,64.770876,3920,2528476.5,29
"496","velovita",FALSE,64.21464,8546,2549212.51162791,27
"497","velovita",FALSE,63.3456,4122,2640475.80952381,27
"498","velovita",FALSE,65.245968,3817,2627966.25641026,30
"499","velovita",FALSE,75.27168,8136,2564323.75609756,28
"500","velovita",FALSE,64.13742,4123,2549882.0952381,27
