Time  [ms],Memory Usage [KB]
0,2402520
101,2409652
151,2412312
252,2423508
354,2446508
453,2444840
553,2445308
654,2448996
754,2468852
854,2471000
956,2469748
1056,2469748
1156,2473160
1257,2482796
1356,2482792
1457,2489976
1558,2488884
1659,2488324
