Time  [ms],Memory Usage [KB]
0,2461324
51,2464884
151,2463292
251,2464572
353,2464112
452,2464900
552,2466152
652,2468272
754,2487832
854,2487836
955,2488452
1055,2491456
1155,2498712
1256,2503260
1360,2505388
1457,2506924
1557,2507632
1657,2510044
1758,2510560
1858,2520724
1958,2519332
2059,2515692
2159,2517716
2260,2539396
2360,2555792
2461,2575168
2561,2579308
2661,2575328
2762,2575200
2862,2576224
