Time  [ms],Memory Usage [KB]
0,2387456
100,2396820
204,2404808
313,2429004
406,2432592
456,2433848
556,2435980
657,2437400
757,2455408
857,2457912
957,2459836
1058,2461784
1159,2466728
1259,2459656
1360,2465904
1460,2469612
1560,2470448
1661,2471008
1762,2478804
1862,2484536
1962,2487140
2063,2506588
2163,2514136
