Time  [ms],Memory Usage [KB]
0,2436392
105,2441908
204,2448400
304,2453892
404,2475004
504,2477304
605,2478152
705,2497836
806,2502052
906,2504408
1007,2506840
1108,2506264
1209,2515764
1308,2509384
1408,2516256
1508,2520636
1609,2522268
1710,2523472
1810,2523692
1910,2525200
2010,2528736
2110,2528984
2211,2528984
2311,2529104
2418,2518116
2513,2520240
