Time  [ms],Memory Usage [KB]
0,2473812
101,2469476
202,2468852
303,2469192
403,2469372
503,2463796
604,2488112
705,2490620
805,2494568
906,2485684
1006,2486452
1108,2489128
1208,2495500
1309,2501448
1409,2496504
1509,2498172
1610,2504252
1710,2505160
1811,2505640
1911,2508812
2013,2509088
2113,2512220
2213,2515668
2314,2516932
2414,2524472
2515,2526516
2615,2525628
2715,2526708
2819,2531984
2919,2539432
3018,2549224
3118,2550976
3219,2547984
3319,2548500
3419,2541688
3520,2544992
3621,2546884
3721,2547360
3821,2549096
3922,2549108
4022,2551172
4123,2550872
4223,2553100
4324,2553920
4425,2555660
4525,2557724
4625,2558464
4726,2571128
