Time  [ms],Memory Usage [KB]
0,2621316
101,2620716
202,2618656
302,2618380
403,2620108
503,2617884
603,2621196
704,2638900
804,2640956
905,2640928
1005,2642452
1105,2652280
1206,2656788
1306,2661520
1406,2668696
1507,2669940
1608,2662384
1709,2664060
1809,2664888
1910,2665844
2010,2667936
2111,2667888
2211,2667880
2312,2669260
2411,2669012
2512,2669452
2612,2699120
2713,2707220
2813,2728792
2913,2736052
