Time  [ms],Memory Usage [KB]
45731,2536964
45831,2537048
45931,2537372
46032,2537176
46131,2537440
46233,2537244
46333,2537048
46434,2537204
46535,2537204
46634,2536996
46739,2537204
46839,2537492
46939,2536892
47041,2536892
47140,2537272
47243,2537124
47341,2524840
47441,2524480
47542,2524480
47642,2524436
47743,2524444
47843,2524728
47945,2524728
48044,2524844
48145,2524812
48247,2524912
48347,2524692
48450,2524692
48549,2524804
48650,2524976
48752,2524932
48851,2524916
48954,2524916
49051,2525232
49151,2525320
49252,2525628
49352,2525372
49454,2525568
49554,2525668
49653,2526160
49754,2526144
49855,2526004
49958,2525768
50056,2526236
50158,2525912
50257,2526208
50357,2526016
50458,2526296
50558,2526304
50660,2526108
50760,2526528
50861,2527164
50961,2526972
51061,2526500
51163,2526720
51271,2526816
51363,2527120
51464,2526924
51564,2526592
51666,2526592
51766,2526776
51867,2526492
51967,2526504
52067,2526252
52169,2526252
52268,2526756
52368,2526432
52469,2526432
52569,2526424
52672,2526628
52771,2526800
52871,2526196
52972,2526756
53072,2526728
53177,2526728
53274,2526752
53373,2527080
53474,2527080
53574,2526508
53675,2526508
53775,2527584
53879,2527188
53978,2527224
54077,2527148
54182,2526952
54279,2527544
54378,2527484
54480,2527520
54580,2527472
54684,2527472
54782,2527556
54882,2527680
54982,2527680
55082,2527716
55184,2527716
55283,2527920
55385,2527640
55485,2527924
55584,2527680
55687,2527680
55786,2527776
55887,2528168
55939,2528168
56038,2528236
56147,2527496
56239,2527496
56340,2527612
56442,2527612
56542,2527676
56642,2527376
56742,2527592
56842,2528304
56942,2530508
57043,2533176
57143,2534220
57244,2537368
57344,2545572
57444,2562192
57544,2563208
57645,2584100
57745,2584192
57845,2585464
