Time  [ms],Memory Usage [KB]
0,2316924
101,2318736
201,2328452
305,2349200
403,2357292
503,2358572
603,2352372
705,2353332
805,2353072
905,2374800
1006,2381892
1106,2373376
1206,2377720
1307,2380268
1408,2374328
1508,2377504
1608,2380804
1709,2380916
1809,2381660
1910,2381288
2011,2383544
2111,2384604
2211,2382952
2312,2385012
2412,2386480
2513,2395212
2613,2402956
2714,2412744
2816,2415472
2914,2416496
3015,2415888
3115,2417848
3216,2415916
3318,2417412
3417,2415324
3517,2417516
3619,2422676
