Time  [ms],Memory Usage [KB]
0,2571024
100,2572828
203,2571384
301,2573084
403,2574168
502,2567368
603,2568972
704,2571592
805,2589652
905,2571560
1005,2572620
1106,2580704
1206,2584536
1306,2589880
1407,2596000
1507,2595132
1607,2597948
1709,2599672
1809,2598584
1909,2600456
2010,2618764
2110,2621540
2210,2624684
2311,2629488
