Time  [ms],Memory Usage [KB]
0,2481376
101,2486548
201,2494648
301,2512020
401,2516112
503,2519060
553,2520536
658,2524428
756,2521216
856,2537400
956,2537192
1056,2537516
1157,2538524
1257,2537416
1357,2545188
1458,2546820
1558,2551036
1659,2550424
1762,2557748
1861,2557772
1960,2571172
2061,2580188
2161,2586348
2262,2592160
