Time  [ms],Memory Usage [KB]
0,2564224
100,2564184
200,2567708
300,2566900
401,2567424
501,2566552
602,2586024
752,2588976
853,2578760
903,2566588
1003,2574916
1104,2566344
1204,2573316
1304,2576792
1406,2578500
1505,2579112
1605,2579464
1706,2580152
1807,2583552
1907,2582960
2007,2583656
2107,2586448
2210,2606920
2308,2610916
2409,2627772
2512,2625092
2612,2625980
