Time  [ms],Memory Usage [KB]
0,2370540
106,2375892
207,2385596
307,2391360
409,2407700
509,2409092
609,2418012
710,2421736
810,2443304
910,2443900
1011,2443052
1111,2443408
1212,2431976
1312,2432328
1413,2432604
1513,2432716
1613,2432912
1713,2436376
1814,2433440
1914,2434972
2015,2440228
2115,2441204
2215,2444232
2316,2450700
2416,2447404
