Time  [ms],Memory Usage [KB]
0,2571300
100,2568008
201,2571264
301,2570428
401,2570268
502,2564728
602,2565468
703,2582664
804,2584816
905,2587132
1005,2587632
1105,2598384
1206,2599724
1307,2604212
1407,2605860
1507,2617576
1608,2616960
1708,2600272
1808,2598824
1909,2615048
2009,2617624
2111,2635128
2211,2638168
