Time  [ms],Memory Usage [KB]
0,2471776
101,2467664
202,2468228
302,2468568
403,2470292
503,2470632
603,2471404
704,2473804
804,2492876
905,2493568
1005,2496196
1106,2504900
1206,2508032
1306,2511628
1407,2514820
1507,2518052
1611,2523260
1710,2507256
1811,2497440
1911,2498128
2012,2499220
2112,2499660
2212,2500104
2313,2500620
2413,2501556
2513,2513724
2613,2514980
2714,2514188
2814,2513988
2915,2515980
3015,2516900
3116,2520184
3216,2522432
3317,2523104
3417,2523896
3517,2525560
3618,2527640
3718,2529652
3818,2532296
3919,2552932
4019,2559724
4119,2569456
4220,2570852
4320,2573688
4421,2574884
4521,2578836
4621,2583320
4722,2559832
4822,2602236
4922,2610136
5023,2618684
