date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:49	32783/32783	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/extensive-target-community.png	magnetadservices.com/Content/images/theme/extensive-target-community.png	(from https://magnetadservices.com/Advertisers)
19:23:49	203469/203469	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/advertiser-page-image/advertiser-stand.jpg	magnetadservices.com/Content/images/advertiser-page-image/advertiser-stand.jpg	(from https://magnetadservices.com/Advertisers)
19:23:49	10831/10831	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/targeting.png	magnetadservices.com/Content/images/theme/targeting.png	(from https://magnetadservices.com/Advertisers)
19:23:50	4124/4124	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/retargeting.png	magnetadservices.com/Content/images/theme/retargeting.png	(from https://magnetadservices.com/Advertisers)
19:23:50	5298/5298	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/provide-reports.png	magnetadservices.com/Content/images/theme/provide-reports.png	(from https://magnetadservices.com/Advertisers)
19:23:51	25329/25329	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/detection-of-fraud.png	magnetadservices.com/Content/images/theme/detection-of-fraud.png	(from https://magnetadservices.com/Advertisers)
19:23:52	10841/10841	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/support-and-advice.png	magnetadservices.com/Content/images/theme/support-and-advice.png	(from https://magnetadservices.com/Advertisers)
19:23:52	926045/926045	---M--	200	added ('OK')	image/svg+xml	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/icons/fonts/la-solid-900.svg	magnetadservices.com/Content/icons/fonts/la-solid-900.svg	(from https://magnetadservices.com/Content/style/style.min.css)
19:23:53	80643/80643	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/advertiser-page-image/advertising-range.jpg	magnetadservices.com/Content/images/advertiser-page-image/advertising-range.jpg	(from https://magnetadservices.com/Advertisers)
19:23:53	4379/4379	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/click-icon.png	magnetadservices.com/Content/images/theme/click-icon.png	(from https://magnetadservices.com/Advertisers)
19:23:54	2521/2521	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/install-app-icon.png	magnetadservices.com/Content/images/theme/install-app-icon.png	(from https://magnetadservices.com/Advertisers)
19:23:54	46457/46457	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/advertiser-page-image/advertiser-testimonial.png	magnetadservices.com/Content/images/advertiser-page-image/advertiser-testimonial.png	(from https://magnetadservices.com/Advertisers)
19:23:55	67990/67990	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/publisher-page-image/publisher-stand.jpg	magnetadservices.com/Content/images/publisher-page-image/publisher-stand.jpg	(from https://magnetadservices.com/Publishers)
