Time  [ms],Memory Usage [KB]
0,2459704
98,2464128
200,2482812
300,2481704
400,2487760
500,2488436
601,2490728
703,2511420
801,2513424
902,2515480
1002,2516460
1103,2518716
1153,2518448
1255,2521436
1354,2526568
1456,2526732
1556,2529076
1656,2530228
1756,2529692
1859,2530820
1957,2533512
